source,excerpt,place,agent,excerptStarts,excerptEnds,sourceSize,placeInSource,agentInSource,placeInExcerpt,agentInExcerpt,placeDistanceFromExcerpt,agentDistanceFromExcerpt
reminiscencesofm02kellrich,1437431077123,"http://dbpedia.org/resource/Royal_Opera_House","",378656,378805,520572,22,0,0,0,-621386,-1
recentmusicmusic00mosc,1432552116295,"http://dbpedia.org/resource/County_of_Boulogne","",913985,914215,968055,0,0,0,0,-1,-1
reminiscencesofm02kellrich,1437431178768,"http://dbpedia.org/resource/Haymarket,_London","",378814,379712,520572,5,0,0,0,-648866,-1
musicallettersf00unkngoog,1448038803075,"http://dbpedia.org/resource/St_Paul's_Cathedral","",18895,19670,571646,0,0,0,0,-1,-1
autobiographyimg01dela,1444160098859,"http://dbpedia.org/resource/London","http://dbpedia.org/resource/Mary_Delany",846597,846716,1133206,131,44,0,0,-1419120,-1346289
recentmusicmusic00mosc,1426861595037,"http://dbpedia.org/resource/Paris","",75037,75164,968055,96,0,0,0,-1817443,-1
musicallettersf00unkngoog,1448366492754,"http://dbpedia.org/resource/Aachen","",275659,275886,571646,2,0,1,0,0,-1
reminiscencesofm02kellrich,1436298772179,"http://dbpedia.org/resource/London","",111746,112987,520572,70,0,0,0,-927665,-1
memoriesofmusici00ganzuoft,1436164309168,"http://dbpedia.org/resource/St_James's","",67698,68229,492418,0,0,0,0,-1,-1
memoriesofmusici00ganzuoft,1436260597356,"http://dbpedia.org/resource/St_James's_Hall","",198665,199133,492418,0,0,0,0,-1,-1
twomenmemoir00soutuoft,1433438168945,"http://dbpedia.org/resource/Shrewsbury_School","",10115,10946,494037,2,0,0,0,-43573,-1
cu31924022334563,1438617107509,"http://dbpedia.org/resource/Her_Majesty's_Theatre","",180955,181679,827587,36,0,0,0,-1466667,-1
thirtyyearsofmus00klei,1438436113840,"","http://dbpedia.org/resource/Charles_Gounod",305931,306923,578001,0,41,0,2,-1,0
thirtyyearsofmus00klei,1438523309595,"http://dbpedia.org/resource/Cambridge_Guildhall","",407082,408021,578001,1,0,1,0,0,-1
reminiscencesofm02kellrich,1435865160115,"http://dbpedia.org/resource/Dublin","",81233,81990,520572,50,0,1,0,0,-1
