 "id" , "src" , "title" ,
 "609448480.txt" , "http://data.open.ac.uk/red/document/969482042-79-80" , "Extracts from the Diary of a Lover of Literature." ,
 "1314982199.txt" , "http://data.open.ac.uk/red/document/172625866-i-95" , "Antonia White. Diaries 1926-1957" ,
 "1382583609.txt" , "http://data.open.ac.uk/red/document/1425159857-8-14" , "Byron's Letters and Journals" ,
 "1875808409.txt" , "http://data.open.ac.uk/red/document/1985423662-104" , "The Diary of W.R.Grahame in the United States and Canada" ,
 "453969823.txt" , "http://data.open.ac.uk/red/document/1017630223-8-372" , "The diary of Samuel Pepys" ,
 "2088104838.txt" , "http://data.open.ac.uk/red/document/1322872021-5-151" , "The Diary of Virginia Woolf" ,
 "1688849784.txt" , "http://data.open.ac.uk/red/document/1184932672-18" , "Bread, Knowledge and Freedom: A Study of Nineteenth-Century Working Class Autobiography" ,
 "981151777.txt" , "http://data.open.ac.uk/red/document/444157387-1-390" , "Alfred Lord Tennyson: A Memoir by His Son" ,
 "742409004.txt" , "http://data.open.ac.uk/red/document/554043024-ii-770" , "The Letters of Sydney Smith" ,
 "1503147711.txt" , "http://data.open.ac.uk/red/document/1143145606-1-203" , "The Friendships of Mary Russell Mitford" ,
 "503981832.txt" , "http://data.open.ac.uk/red/document/980294634-28" , "Mountstuart Elphinstone" ,
 "759000705.txt" , "http://data.open.ac.uk/red/document/31024094-i-216" , "The Journals of Mary Shelley 1814-1844" ,
 "761637210.txt" , "http://data.open.ac.uk/red/document/1578754424-3-848" , "The diaries of John Ruskin" ,
 "1901353195.txt" , "http://data.open.ac.uk/red/document/398377439-3-322" , "The Letters of Robert Louis Stevenson" ,
 "1664832226.txt" , "http://data.open.ac.uk/red/document/677026060-32" , "Journals of Dorothy Wordsworth" ,
 "869026884.txt" , "http://data.open.ac.uk/red/document/2100384267-3-193" , "Harriet Martineau's Autobiography with Memorials by Maria Weston Chapman" ,
 "1725236257.txt" , "http://data.open.ac.uk/red/document/489464691-158" , "The Diary of Robert Sharp of South Cave" ,
 "15003025.txt" , "http://data.open.ac.uk/red/document/1322872021-2-260" , "The Diary of Virginia Woolf" ,
 "593745240.txt" , "http://data.open.ac.uk/red/document/1425159857-4-150" , "Byron's Letters and Journals" ,
 "642936684.txt" , "http://data.open.ac.uk/red/document/554043024-ii-635" , "The Letters of Sydney Smith" ,
 "1625280045.txt" , "http://data.open.ac.uk/red/document/1849598785-2-29" , "Letters of Robert Louis Stevenson, April 1874-July1879" ,
